"Gene","airspace","bldvat","endotox","exercise","lcanc","sepsis","syno","tb"
"BMS1",0,0,0,0,0,0,1,0
"BMS1P1",0,1,0,0,0,0,0,0
"BMS1P4",0,1,0,0,0,0,0,0
"BMX",1,0,0,0,0,0,1,0
"BNIP2",0,1,0,0,1,0,0,0
"BNIPL",0,0,0,0,0,0,1,0
"BOD1",0,1,0,0,0,0,0,0
"BOD1L1",0,0,0,0,0,1,0,0
"BORA",0,1,0,0,0,0,0,0
"BORCS6",1,0,0,0,1,0,0,0
"BORCS7",0,0,0,0,0,1,0,0
"BPI",0,0,0,0,0,0,1,0
"BPNT1",0,0,0,0,0,0,1,0
"BPTF",0,0,0,0,0,0,1,0
"BRCA1",0,1,0,0,0,0,0,0
"BRD1",0,0,0,0,0,1,0,0
"BRD3",1,0,0,0,0,0,0,0
"BRD7",0,1,0,0,0,1,0,0
